ID,Z,L,N,Frog (ppm),Soil (ppm),BCF
L13,No,Yes,No,0.21552731,11.08150104,0.019449288
L14,No,Yes,No,1.639580211,13.39903434,0.12236555
L15,No,Yes,No,6.840747596,9.256396054,0.739029268
L16,No,Yes,No,1.741527994,16.20179671,0.107489807
L17,No,Yes,No,2.167242833,22.75571035,0.095239516
L18,No,Yes,No,1.086745028,16.12935532,0.067376842
LN13,No,Yes,Yes,0.917771774,12.24391137,0.074957401
LN14,No,Yes,Yes,4.715858464,18.01392415,0.261789626
LN15,No,Yes,Yes,0.865894587,12.02008178,0.072037329
LN16,No,Yes,Yes,2.924920322,14.63366911,0.199876073
LN17,No,Yes,Yes,2.314295449,19.86087527,0.11652535
LN18,No,Yes,Yes,1.185701262,12.85119469,0.092263894
ZL13,Yes,Yes,No,1.576116733,11.14846165,0.141375266
ZL14,Yes,Yes,No,2.38761007,25.87280149,0.092282626
ZL15,Yes,Yes,No,8.998278249,9.999975661,0.899830015
ZL16,Yes,Yes,No,3.501471765,19.24860383,0.181907831
ZL17,Yes,Yes,No,1.37728742,12.02007237,0.11458229
ZL18,Yes,Yes,No,9.960007494,6.648547847,1.49807262
ZLN13,Yes,Yes,Yes,2.090896538,11.6467944,0.179525496
ZLN14,Yes,Yes,Yes,4.789251305,10.6624691,0.449169068
ZLN15,Yes,Yes,Yes,13.93756486,8.27896531,1.683491153
ZLN16,Yes,Yes,Yes,1.063748029,10.33028874,0.102973698
ZLN17,Yes,Yes,Yes,2.408360885,9.603221911,0.250786758
ZLN18,Yes,Yes,Yes,2.308444399,10.10434789,0.228460503
